"filename", "language", "Assembly", "comment", "blank", "total"
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\ASSEMBLY_CODES\init system.s", "Assembly", 129, 0, 26, 155
"Total", "-", 129, 0, 26, 155
