"filename", "language", "Assembly", "comment", "blank", "total"
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\ASSEMBLY_CODES\init system.s", "Assembly", 129, 0, 26, 155
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\ASSEMBLY_CODES\main.s", "Assembly", -59, 0, -46, -105
"Total", "-", 70, 0, -20, 50
