"filename", "language", "JSON", "JavaScript", "HTML", "Markdown", "Verilog", "SVG", "C", "Assembly", "JavaScript JSX", "Arduino", "comment", "blank", "total"
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\VERILOG_CODES\MEMORY\RODATA.v", "Verilog", 0, 0, 0, 0, -32, 0, 0, 0, 0, 0, -13, -13, -58
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\VERILOG_CODES\MEMORY\SYSTEM REGS.v", "Verilog", 0, 0, 0, 0, -26, 0, 0, 0, 0, 0, -1, -8, -35
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\web dashboard\back_end\main.js", "JavaScript", 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -16
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\web dashboard\back_end\package-lock.json", "JSON", -1194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1195
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\web dashboard\back_end\package.json", "JSON", -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -8
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\web dashboard\back_end\routes.js", "JavaScript", 0, -22, 0, 0, 0, 0, 0, 0, 0, 0, -118, -114, -254
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\web dashboard\front_end\package-lock.json", "JSON", -1822, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1823
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\web dashboard\front_end\package.json", "JSON", -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -8
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\web dashboard\front_end\web_dashboard\README.md", "Markdown", 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, -8, -17
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\web dashboard\front_end\web_dashboard\eslint.config.js", "JavaScript", 0, -20, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -22
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\web dashboard\front_end\web_dashboard\index.html", "HTML", 0, 0, -13, 0, 0, 0, 0, 0, 0, 0, 0, -1, -14
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\web dashboard\front_end\web_dashboard\package-lock.json", "JSON", -3314, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -3315
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\web dashboard\front_end\web_dashboard\package.json", "JSON", -32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -33
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\web dashboard\front_end\web_dashboard\public\favicon.svg", "SVG", 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\web dashboard\front_end\web_dashboard\public\icons.svg", "SVG", 0, 0, 0, 0, 0, -24, 0, 0, 0, 0, 0, -1, -25
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\web dashboard\front_end\web_dashboard\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -11, 0, 0, -4, -15
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\web dashboard\front_end\web_dashboard\src\COMPONENTS\control ui.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -381, 0, -224, -402, -1007
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\web dashboard\front_end\web_dashboard\src\assets\react.svg", "SVG", 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\web dashboard\front_end\web_dashboard\src\assets\vite.svg", "SVG", 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, -2
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\web dashboard\front_end\web_dashboard\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -11, 0, 0, -3, -14
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\web dashboard\front_end\web_dashboard\vite.config.js", "JavaScript", 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2, -8
"Total", "-", -6376, -56, -13, -9, -1264, -27, -292, -944, -403, -33, -803, -2107, -12327
