"filename", "language", "Assembly", "comment", "blank", "total"
"e:\FPGA STUFF\COMP ARCHITECTURE\EXCAVATOR\ASSEMBLY_CODES\init system.s", "Assembly", 130, 0, 33, 163
"Total", "-", 130, 0, 33, 163
